Name,blng__Active__c,blng__FlatAmount__c,blng__Percentage__c,blng__ProcessingOrder__c,blng__RevenueAgreementAssociation__c,blng__RevenueDistributionMethod__c,blng__RevenueFinanceBook__c,blng__RevenueGLRule__c,blng__RevenueLegalEntity__c,blng__RevenueRecognitionRule__c,blng__RevenueScheduleAmount__c,blng__RevenueScheduleCreationAction__c,blng__Type__c,blng__RevenueDistributionMethod__r.Id,blng__RevenueDistributionMethod__r.Name,blng__RevenueFinanceBook__r.Id,blng__RevenueFinanceBook__r.Name,blng__RevenueGLRule__r.Id,blng__RevenueGLRule__r.Name,blng__RevenueLegalEntity__r.Id,blng__RevenueLegalEntity__r.Name,blng__RevenueRecognitionRule__r.Id,blng__RevenueRecognitionRule__r.Name
Order Based - 100% Upfront - UK,TRUE,,100,1,Not Applicable,a2N3G0000006TFxUAM,a1r3G000000AxEOQA0,a1u3G0000003TleQAE,a233G000000VaCpQAK,a2O3G000000qAUAUA2,Transaction Amount,Order Activation,Percentage,a2N3G0000006TFxUAM,Order Based - Full Recognition,a1r3G000000AxEOQA0,Revenue - UK,a1u3G0000003TleQAE,Revenue - Standard,a233G000000VaCpQAK,UK,a2O3G000000qAUAUA2,Order Based - 100% Upfront
Order Based - 100% Rateable - UK,TRUE,,100,1,Not Applicable,a2N3G0000006TFyUAM,a1r3G000000AxEOQA0,a1u3G0000003TleQAE,a233G000000VaCpQAK,a2O3G000000qAUBUA2,Transaction Amount,Order Activation,Percentage,a2N3G0000006TFyUAM,Order Based - Monthly,a1r3G000000AxEOQA0,Revenue - UK,a1u3G0000003TleQAE,Revenue - Standard,a233G000000VaCpQAK,UK,a2O3G000000qAUBUA2,Order Based - 100% Rateable
