Id,Name,RecordTypeId,SBQQ__AppliedImmediately__c,SBQQ__ApplyToProductOptions__c,SBQQ__AutoSelect__c,SBQQ__ColumnOrder__c,SBQQ__DefaultField__c,SBQQ__DefaultObject__c,SBQQ__DisplayOrder__c,SBQQ__Feature__c,SBQQ__Global__c,SBQQ__HiddenValues__c,SBQQ__Hidden__c,SBQQ__Position__c,SBQQ__Product__c,SBQQ__Required__c,SBQQ__ShownValues__c,SBQQ__TargetField__c,SBQQ__Feature__r.Name,SBQQ__Product__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
a0526000006avE1AAI,License Type,,FALSE,FALSE,FALSE,2,,,1,a0n2600000Ah98EAAR,FALSE,,FALSE,Top,01t3G000000sNNwQAM,FALSE,,LicenseType__c,SmartBytes Core Platform,SmartBytes Bundle - Complete Solution,
a0526000006avDrAAI,Platform,,TRUE,FALSE,FALSE,1,,,1,a0n2600000Ah98EAAR,FALSE,,FALSE,Top,01t3G000000sNNwQAM,FALSE,,Platform__c,SmartBytes Core Platform,SmartBytes Bundle - Complete Solution,
