Id,Name,blng__Active__c,blng__FlatAmount__c,blng__Percentage__c,blng__ProcessingOrder__c,blng__RevenueAgreementAssociation__c,blng__RevenueDistributionMethod__c,blng__RevenueFinanceBook__c,blng__RevenueGLRule__c,blng__RevenueLegalEntity__c,blng__RevenueRecognitionRule__c,blng__RevenueScheduleAmount__c,blng__RevenueScheduleCreationAction__c,blng__Type__c,blng__RevenueDistributionMethod__r.Name,blng__RevenueFinanceBook__r.Name,blng__RevenueGLRule__r.Name,blng__RevenueLegalEntity__r.Name,blng__RevenueRecognitionRule__r.Name
a2E260000016xwDEAQ,Order Based - 100% Upfront - UK,TRUE,,100,1,Not Applicable,a2C26000005h1LWEAY,a1r3G000000AxEOQA0,a1j26000001IB2XAAW,a233G000000VaCpQAK,a2D260000017ey9EAA,Transaction Amount,Order Activation,Percentage,Order Based - Full Recognition,Revenue - UK,Revenue - Standard,UK,Order Based - 100% Upfront
a2E260000016xw8EAA,Order Based - 100% Rateable - UK,TRUE,,100,1,Not Applicable,a2C26000005h1LREAY,a1r3G000000AxEOQA0,a1j26000001IB2XAAW,a233G000000VaCpQAK,a2D260000017eyAEAQ,Transaction Amount,Order Activation,Percentage,Order Based - Monthly,Revenue - UK,Revenue - Standard,UK,Order Based - 100% Rateable
