Id,Name,blng__Active__c,blng__BillingFinanceBook__c,blng__BillingGLRule__c,blng__BillingLegalEntity__c,blng__BillingRule__c,blng__CancellationInvoicePlan__c,blng__CancellationRule__c,blng__InvoicePlan__c,blng__BillingFinanceBook__r.Name,blng__BillingGLRule__r.Name,blng__BillingLegalEntity__r.Name,blng__BillingRule__r.Name,blng__CancellationInvoicePlan__r.Name,blng__InvoicePlan__r.Name
a1W26000000XyMbEAK,Invoice - Standard - UK,TRUE,a1r3G000000AxEPQA0,a1j26000001IB2SAAW,a233G000000VaCpQAK,a1T2600000AaNe9EAF,,LIFO by Order Product Creation Date,,Accounting - UK,Billing - Standard,UK,Invoice - Standard,,
a1W26000000XyMgEAK,Invoice - Milestone Billing - UK,TRUE,a1r3G000000AxEPQA0,a1j26000001IB2SAAW,a233G000000VaCpQAK,a1T2600000AaNeEEAV,,LIFO by Order Product Creation Date,a1o26000001DxFmAAK,Accounting - UK,Billing - Standard,UK,Invoice - Milestone Billing,,Milestone Billing
